abase,babble,cabbage,dabble,earmark,face,gabble,hack,identify,jabber,kayak,labor,macerate,nadire,obey,pacify,quadruple,race,sack,taboo,ululate,vacation,waddle,yak,zap
alter,bestow,charm,deink,enter,flip-out,got-to,hone,intend,,,look-back,misconstrue,,oversell,petition,,recommend,seesaw,tickle,,,womanize,,
alternate,bestrew,chart,deject,entertain,flirt,gotta,honeycomb,intensify,,,lookit,misdiagnose,,overshadow,petrify,,recommit,seethe,tide,,,wonder,,
amalgamate,bestride,charter,delay,enthrall,flit,gouge,honeymoon,interact,,,loom,misdirect,,oversight,phase,,recompense,segment,tidy,,,woo,,
amass,bet,chase,delegate,enthrone,float,govern,honk,intercede,,,loop,misfire,,oversimplify,philander,,reconcile,segregate,tie,,,woof,,
amaze,bethink-oneself,chasten,delete,enthuse,flock,grab,honor,intercept,,,loose,misguide,,overspread,philosophize,,recondition,seize,tie-the-knot,,,woolgather,,
amble,betide,chastise,deliberate,entice,flog,grab-hold,honour,interchange,,,loosen,mishandle,,overstate,phone,,reconnect,select,tie-up,,,word,,
ambulate,betoken,chat,delight,entitle,flood,grace,hoodwink,interconnect,,,loot,misinterpret,,overstay,phone-in,,reconnoitre,self-adjust,tighten,,,work,,
ambush,betray,chatter,delimit,entomb,floor,grade,hook,interest,,,lop,misjudge,,overstep,phosphoresce,,reconsider,self-destruct,tile,,,work-out,,
ameliorate,betroth,chauffeur,delineate,entrain,flop,graduate,hoot,interfere,,,lope,mislay,,overstimulate,photocopy,,reconstitute,self-efface,till,,,work-through,,
amend,better,cheapen,delint,entrance,floss,graffiti,hoover,interject,,,lord,mislead,,overstock,photograph,,reconstruct,self-establish,tilt,,,workup,,
amerce,bewail,cheat,delist,entrap,flounce,graft,hop,interlace,,,lose,mismanage,,overstrain,phrase,,recontact,sell,time,,,worm,,
americanize,beware,check,deliver,entreat,flounder,grandstand,hope,interlard,,,lose-it,misplace,,overstress,pick,,reconvene,semaphore,tin,,,worry,,
amortize,bewilder,cheep,delouse,entrench,flour,grant,hopscotch,interleave,,,lose-sleep,mispronounce,,oversubscribe,pick-vpc,,record,send,tincture,,,worsen,,
amount,bewitch,cheer,delude,entrust,flouridate,granulate,horrify,interlink,,,lounge,misquote,,overtake,pick-off,,recount,send-away,ting,,,worship,,
amplify,bias,cheer-up,deluge,entwine,flourish,grapple,horsewhip,interlock,,,lour,misread,,overtax,pick-up,,recoup,send-up,tinge,,,wound,,
amputate,bicker,cheerlead,deluster,enumerate,flout,grasp,hose,interlope,,,louse,misrepresent,,overthink,picket,,recover,sensationalize,tingle,,,wow,,
amuse,bicycle,cherish,delve,enunciate,flow,grass,hospitalize,intermarry,,,louse-up,misroute,,overthrow,pickle,,recraft,sense,tinker,,,wrack,,
analyse,bid,chew,demagnetize,envelop,flower,grate,host,intermingle,,,love,miss,,overturn,pickpocket,,recreate,sensitize,tinkle,,,wrangle,,
analyze,bide,chicken,demagogue,envisage,flub,gratify,hound,intermix,,,low,misspell,,overuse,picnic,,recriminate,sentence,tinsel,,,wrap,,
anastamose,biff,chicken-out,demand,envision,fluctuate,gravel,house,intern,,,lower,misspend,,overvalue,picture,,recruit,sentimentalize,tint,,,wrap-up,,
anastomose,bifurcate,chide,demarcate,envy,fluff,gravitate,hover,internalize,,,lubricate,misstate,,overweight,pidgeonhole,,rectify,separate,tip,,,wreak,,
anchor,bike,chill,demast,epitomize,flummox,gray,howl,internationalize,,,luck,mist,,overwhelm,piece,,recuperate,septate,tip-hand,,,wreathe,,
anesthetize,bilk,chime,demean,epoxy,flunk,graze,huckster,interpolate,,,lug,mistake,,overwork,piece-together,,recur,sequester,tiptoe,,,wreck,,
anger,bill,chink,dement,equal,fluoresce,grease,huddle,interpose,,,lull,mistime,,owe,pierce,,recuse,sequin,tire,,,wrench,,
angioplasty,billet,chip,demilitarize,equalize,flush,green,huff,interpret,,,lumber,mistreat,,own,pigeonhole,,recycle,serenade,tisk,,,wrest,,
angle,billow,chir,demobilize,equate,fluster,greenlight,hug,interrelate,,,lump,mistrust,,oxidize,piggyback,,redact,sermonize,tithe,,,wrestle,,
anglicize,bin,chirp,democratize,equilibrate,flutter,greet,hulk,interrogate,,,lunch,misunderstand,,oxygenate,pigment,,redden,serve,titillate,,,wriggle,,
anguish,bind,chirrup,demolish,equip,flux,grieve,hull,interrupt,,,luncheon,misuse,,,pile,,redecorate,service,title,,,wriggle-out,,
angulate,biopsy,chisel,demonize,equivocate,fly,grill,hum,intersect,,,lunge,misword,,,pilfer,,redeem,set,titrate,,,wring,,
animalize,birch,chitchat,demonstrate,eradicate,fly-the-coop,grimace,humanize,intersperse,,,lurch,mitigate,,,pillory,,redefine,set-(upon),titter,,,wrinkle,,
animate,birdnest,chitter,demoralize,erase,foal,grin,humble,intertwine,,,lure,mix,,,pilot,,redeploy,set-about,toast,,,write,,
ankylose,birth,chlorinate,demote,erect,foam,grind,humidify,intervene,,,lurk,mizzle,,,pin,,redesign,set-fire,toboggan,,,write-down,,
annex,bisect,choke,demur,erode,fob-off,grip,humiliate,interview,,,lust,moan,,,pinch,,redetect,set-free,toddle,,,write-in,,
annihilate,bitch,chomp,demyelinate,err,focalize,gripe,humor,interweave,,,luteinize,mob,,,pine,,redevelop,set-off,toe,,,write-out,,
annotate,bite,choose,denationalize,eruct,focus,grit,hump,intimate,,,luxuriate,mobilize,,,ping,,redial,set-on-fire,tog,,,write-up,,
announce,bivouac,chop,denigrate,erupt,fog,groan,hunch,intimidate,,,,mock,,,pinion,,redirect,set-out,toggle,,,writhe,,
annoy,blab,choreograph,denominate,escalate,foil,grok,hunch-up,intone,,,,model,,,pink,,rediscover,set-store,toil,,,wrong,,
annualize,blabber,chortle,denote,escape,foist,groom,hunger,intoxicate,,,,modem,,,pinpoint,,rediscuss,set-up,tolerate,,,,,
annul,black,christen,denounce,eschew,fold,groove,hunker,intrigue,,,,moderate,,,pioneer,,redistribute,settle,toll,,,,,
anoint,black-out,christianize,dent,escort,foliate,grope,hunt,introduce,,,,modernize,,,pip,,redline,settle-down,tomb,,,,,
answer,blackberry,chrome,denude,espouse,follow,gross,hurl,intrude,,,,modify,,,pipe,,redo,settle-on,tone,,,,,
antagonize,blacken,chronicle,deny,espy,foment,grouch,hurry,inundate,,,,modulate,,,pipe-down,,redouble,sever,tool,,,,,
antedate,blacklist,chuck,deparaffinize,essay,fondle,ground,hurt,inure,,,,moil,,,pique,,redound,sew,tool-around,,,,,
anticipate,blackmail,chuckle,depart,establish,fool,group,hurtle,invade,,,,moisten,,,pirate,,redraw,sexually-assault,toot,,,,,
anticoagulate,blacktop,chug,depend,esteem,foot,grouping-templa.e,husband,invalidate,,,,moisturize,,,pirouette,,redress,shack,tootle,,,,,
antique,blame,chunk,depends,estimate,foozle,grouse,hush,inveigle,,,,mold,,,piss,,reduce,shack-up,top,,,,,
ape,blanch,chunter,depict,estrange,forage,grovel,hush-up,invent,,,,molder,,,piss-and-moan,,reduplicate,shackle,topple,,,,,
apologize,blanket,churn,deplane,etch,forbear,grow,husk,invert,,,,molest,,,pit,,reek,shade,torch,,,,,
apostatize,blare,cinch,deplete,eternalize,forbid,growl,hustle,invest,,,,mollify,,,pitch,,reel,shadow,torment,,,,,
appall,blaspheme,circle,deplore,eternize,force,grudge,hyalinize,investigate,,,,molt,,,pith,,reelect,shag,torpedo,,,,,
appeal,blast,circularize,deploy,etiolate,force-feed,grumble,hybridize,invigorate,,,,monetize,,,pity,,reenact,shake,torture,,,,,
appear,blat,circulate,depopulate,eulogize,force-out,grunt,hydrate,invite,,,,money,,,pivot,,reestablish,shamble,toss,,,,,
appease,blaze,circumcise,deport,europeanize,ford,guarantee,hydrogenate,invoice,,,,monitor,,,placate,,reevaluate,shame,tot,,,,,
append,bleach,circumscribe,depose,euthanize,forebode,guard,hydrolize,invoke,,,,monkey,,,place,,reeve,shampoo,total,,,,,
applaud,bleat,circumvent,deposit,evacuate,forecast,guess,hype,involve,,,,monogram,,,place-vpc,,reexamine,shanghai,tote,,,,,
applique,bleed,cite,deprecate,evade,foreclose,guesstimate,hyperbolize,iodize,,,,monopolize,,,place-weight,,reexcise,shape,totter,,,,,
apply,blemish,civilize,depreciate,evaluate,forego,guest,hypercontrol,ionize,,,,moo,,,plagiarize,,reexperience,share,touch,,,,,
appoint,blench,clack,depress,evaporate,foreknow,guffaw,hyperextend,irk,,,,moon,,,plague,,refashion,shark,touch-on,,,,,
apportion,blend,clad,depressurize,even,foresee,guide,hyperlink,iron,,,,moonlight,,,plait,,refer,sharpen,toughen,,,,,
appraise,bless,claim,deprive,eventuate,foreshadow,guillotine,hyperpigment,irradiate,,,,moor,,,plan,,referee,shatter,tour,,,,,
appreciate,blight,clam,derail,evert,forest,gull,hypertrophy,irrigate,,,,moot,,,plane,,reference,shave,tousle,,,,,
apprehend,blind,clamber,derange,evicerate,forestall,gulp,hyperventilate,irritate,,,,mop,,,plank,,refight,shawl,tout,,,,,
apprentice,blindfold,clamor,derat,evict,foretell,gum,hypnotize,irrupt,,,,mope,,,plant,,refile,shear,tow,,,,,
apprise,blink,clamp,deregulate,evidence,foretoken,gum-up,hypopigment,isolate,,,,moped,,,plash,,refill,sheathe,towel,,,,,
approach,blip,clang,derib,evince,forfeit,gun,,issue,,,,moralize,,,plaster,,refinance,shed,tower,,,,,
appropriate,blister,clank,deride,eviscerate,forge,gurgle,,it,,,,morph,,,plate,,refine,shell,toy,,,,,
approve,blitz,clap,derind,evoke,forget,gush,,itch,,,,mortgage,,,play,,refit,shell-out,trabeculate,,,,,
approximate,bloat,clarify,derive,evolve,forgive,gussy,,itemize,,,,mortify,,,play-vpc,,reflate,shellac,trace,,,,,
arbitrage,block,clash,desalinate,exacerbate,forgo,gust,,,,,,mosey,,,play-by-the-rules,,reflect,shelter,track,,,,,
arbitrate,blockade,clasp,desalt,exact,fork,gut,,,,,,mother,,,plea,,refocus,shelve,trade,,,,,
arch,blog,class,descale,exaggerate,form,gutter,,,,,,motion,,,plead,,reform,shepherd,trademark,,,,,
archive,blood,classify,descend,exalt,formalize,guzzle,,,,,,motivate,,,please,,reformat,shield,traduce,,,,,
argue,bloody,clatter,descend-(on),examine,format,,,,,,,motor,,,pledge,,reformulate,shift,trail,,,,,
arise,bloom,claw,describe,exasperate,formulate,,,,,,,motorbike,,,plink,,refract,shimmer,train,,,,,
arm,blossom,clay,descry,excavate,forsake,,,,,,,motorcycle,,,plod,,refrain,shimmy,traipse,,,,,
arm-twist,blot,clean,desecrate,exceed,fort,,,,,,,motorize,,,plonk,,refresh,shine,tram,,,,,
armor,blot-out,clean-vpc,desensitize,excel,fortify,,,,,,,mottle,,,plop,,refrigerate,shingle,trammel,,,,,
aromatize,blow,cleanse,desert,except,forward,,,,,,,mould,,,plot,,refuel,ship,tramp,,,,,
arouse,blow-cool,clear,deserve,excerpt,fossilize,,,,,,,moulder,,,plough,,refund,shipwreck,trample,,,,,
arraign,blow-it,clear-up,desex,exchange,foster,,,,,,,moult,,,plow,,refurbish,shirk,tranquilize,,,,,
arrange,blow-up,cleave,desiccate,excise,foul,,,,,,,mound,,,pluck,,refuse,shirr,transact,,,,,
array,blubber,clench,design,excite,foul-up,,,,,,,mount,,,plug,,refute,shit,transcend,,,,,
arrest,bludgeon,clerk,designate,exclaim,found,,,,,,,mourn,,,plumb,,regain,shitcan,transcribe,,,,,
arrive,bluff,click,desire,exclude,founder,,,,,,,mouth,,,plummet,,regale,shiver,transect,,,,,
arrogate,blunder,climax,desist,excommunicate,fowl,,,,,,,move,,,plump,,regard,shock,transfer,,,,,
art,blunt,climb,despair,excoriate,fox,,,,,,,move-back,,,plunder,,regenerate,shoe,transfix,,,,,
articulate,blur,clinch,despise,excrete,foxtrot,,,,,,,move-over,,,plunge,,register,shoehorn,transform,,,,,
ascend,blurt,cling,despoil,excruciate,fraction,,,,,,,move-up,,,plunk,,regress,shoo,transfuse,,,,,
ascertain,blush,clink,desprout,excuse,fractionate,,,,,,,mow,,,ply,,regret,shoot,transgress,,,,,
ascribe,bluster,clip,destabilize,execrate,fracture,,,,,,,muck,,,poach,,regroup,shoot-the-breeze,transit,,,,,
ask,board,cloak,destarch,execute,fragment,,,,,,,muck-up,,,pocket,,regrow,shop,transition,,,,,
asphalt,boast,clobber,destigmatize,exemplify,frame,,,,,,,muddle,,,pockmark,,regularize,shoplift,translate,,,,,
asphyxiate,boat,clock,destine,exempt,franchise,,,,,,,muddy,,,pod,,regulate,shore,transmit,,,,,
aspirate,bob,clog,destress,exercise,fray,,,,,,,muff,,,point,,regurgitate,short,transmogrify,,,,,
aspire,bobsled,cloister,destroy,exert,freak,,,,,,,muffle,,,point-to,,rehabilitate,short-circuit,transmute,,,,,
assail,bode,clomp,destruct,exfoliate,freak-out,,,,,,,mug,,,poise,,rehash,shortchange,transpire,,,,,
assassinate,bog,clone,detach,exhale,freckle,,,,,,,mulch,,,poison,,rehearse,shortcircuit,transplant,,,,,
assault,boggle,close,detail,exhaust,free,,,,,,,mulct,,,poke,,reheat,shorten,transport,,,,,
assay,boil,clot,detain,exhibit,freelance,,,,,,,mull,,,polarize,,rehire,should,transpose,,,,,
assemble,boil-down,clothe,detassel,exhilarate,freeze,,,,,,,mull-over,,,police,,reign,shoulder,transship,,,,,
assert,bollix,cloud,detect,exhort,french-fry,,,,,,,multi-task,,,polish,,reignite,shout,transverse,,,,,
assess,bollix-up,clout,deter,exhume,frequent,,,,,,,multiply,,,politicize,,reimage,shove,trap,,,,,
assign,bolshevize,clown,deteriorate,exile,freshen,,,,,,,mumble,,,polka,,reimagine,shovel,trash,,,,,
assimilate,bolster,cloy,determine,exist,fret,,,,,,,mummify,,,poll,,reimburse,show,traumatize,,,,,
assist,bolt,club,detest,exit,frighten,,,,,,,munch,,,pollard,,reimplant,show-up,travel,,,,,
associate,bomb,cluck,dethrone,exonerate,frisk,,,,,,,murder,,,pollinate,,reimpose,showcase,traverse,,,,,
assuage,bombard,clump,detonate,exorcise,fritter,,,,,,,murmur,,,pollute,,rein,shower,trawl,,,,,
assume,bond,clunk,detour,expand,frock,,,,,,,muscle,,,polymerize,,reincarnate,shpritz,tread,,,,,
assure,bone,cluster,detract,expatiate,frog-walk,,,,,,,muse,,,pomade,,reincorporate,shred,treasure,,,,,
astonish,bonk,clutch,detrain,expect,frolic,,,,,,,mushroom,,,ponder,,reindict,shriek,treat,,,,,
astound,boo,clutter,detusk,expectorate,front,,,,,,,must,,,pontificate,,reinforce,shrill,treble,,,,,
atomize,boogie,co-anchor,devalue,expedite,frost,,,,,,,muster,,,pony,,reinscribe,shrimp,tree,,,,,
atone,book,co-author,devastate,expel,froth,,,,,,,mutate,,,poo,,reinsert,shrink,trek,,,,,
atrophy,boom,co-chair,devein,expend,frown,,,,,,,mute,,,pooh-pooh,,reinstall,shrink-from,tremble,,,,,
attach,boost,co-edit,develop,experience,fructify,,,,,,,mutilate,,,pool,,reinstate,shrivel,trench,,,,,
attack,boot,co-exist,deviate,experiment,frustrate,,,,,,,mutiny,,,pootle,,reinstitute,shroud,trend,,,,,
attain,bootleg,co-found,devise,expiate,fry,,,,,,,mutter,,,pop,,reinsure,shrug,trespass,,,,,
attempt,booze,co-host,devolve,expire,fuck,,,,,,,muzzle,,,pop-up,,reintegrate,shuck,trick,,,,,
attend,bop,co-manage,devote,explain,fuck-up,,,,,,,,,,popularize,,reintroduce,shudder,trickle,,,,,
attenuate,border,co-occur,devour,explicate,fuddle,,,,,,,,,,populate,,reinvent,shuffle,trigger,,,,,
attest,bore,co-opt,dewater,explode,fudge,,,,,,,,,,pore,,reinvest,shun,trill,,,,,
attire,born,co-sponsor,dewax,exploit,fuel,,,,,,,,,,port,,reinvigorate,shunt,trim,,,,,
attract,borrow,co-star,deworm,explore,fulfil,,,,,,,,,,portend,,reiterate,shush,trip,,,,,
attribute,boss,co-star-(in),diagnose,export,fulfill,,,,,,,,,,portion,,reject,shut,triple,,,,,
attune,botch,coach,diagram,expose,fumble,,,,,,,,,,portray,,rejoice,shut-up,triumph,,,,,
auction,botch-up,coagulate,dial,expound,fume,,,,,,,,,,pose,,rejoin,shutter,trivialize,,,,,
audit,bother,coal,dialyse,express,fumigate,,,,,,,,,,posit,,rejuvenate,shuttle,troll,,,,,
audition,bottle,coalesce,dialyze,expropriate,function,,,,,,,,,,position,,rekindle,shy,trolley,,,,,
augment,bottlefeed,coarsen,diaper,expunge,fund,,,,,,,,,,possess,,relabel,sibilate,troop,,,,,
augur,bottleneck,coast,dice,expurgate,fundraise,,,,,,,,,,post,,relapse,sicken,trot,,,,,
authenticate,bottom,coat,dicker,exrete,fungate,,,,,,,,,,post-dilate,,relate,side,trouble,,,,,
author,bounce,coauthor,dictate,extend,funnel,,,,,,,,,,poster,,relaunch,sideline,trough,,,,,
authorize,bound,coax,diddle,exterminate,furlough,,,,,,,,,,postmark,,relax,sidestep,trounce,,,,,
autograph,bow,cobble,die,extinguish,furnish,,,,,,,,,,postpone,,relay,sidetrack,truck,,,,,
automate,bow-out,cock,diet,extirpate,furrow,,,,,,,,,,postulate,,relearn,sidle,trudge,,,,,
autopsy,bowdlerize,coddle,differ,extol,further,,,,,,,,,,posture,,release,sieve,trump,,,,,
avail,bowl,code,differential,extort,fuse,,,,,,,,,,pot,,relegate,sift,trumpet,,,,,
avail-oneself,box,codify,differentiate,extract,fuss,,,,,,,,,,pot-roast,,relent,sig,truncate,,,,,
avenge,boycott,coerce,diffract,extradite,,,,,,,,,,,potentiate,,relieve,sigh,truncheon,,,,,
aver,brace,coevolve,diffuse,extrapolate,,,,,,,,,,,potter,,relinquish,sight,trundle,,,,,
average,bracket,coexist,dig,extricate,,,,,,,,,,,pounce,,relish,sightsee,truss,,,,,
avert,brag,cohabit,digest,extrude,,,,,,,,,,,pound,,relive,sign,trust,,,,,
avoid,braid,cohere,dignify,extubate,,,,,,,,,,,pour,,reload,sign-vpc,trustee,,,,,
avouch,brain,coif,dilate,exude,,,,,,,,,,,pout,,relocate,sign-on,try,,,,,
avow,brainwash,coil,dilute,exult,,,,,,,,,,,powder,,rely,sign-up,tube,,,,,
avulse,braise,coin,dim,eye,,,,,,,,,,,power,,remain,signa,tuck,,,,,
await,brake,coincide,dime,,,,,,,,,,,,practice,,remake,signal,tug,,,,,
awake,branch,coldcream,diminish,,,,,,,,,,,,practise,,remand,signalize,tumble,,,,,
awaken,brand,collaborate,din,,,,,,,,,,,,praise,,remark,signify,tune,,,,,
award,brandish,collapse,dine,,,,,,,,,,,,prance,,remarry,silence,tunnel,,,,,
awe,brave,collar,ding,,,,,,,,,,,,prattle,,remaster,silhouette,turf,,,,,
,brawl,collate,dip,,,,,,,,,,,,prawn,,remedy,silicify,turn,,,,,
,bray,collateralize,direct,,,,,,,,,,,,pray,,remember,silkscreen,turn-down,,,,,
,brazen,collect,dirty,,,,,,,,,,,,pre-approve,,remind,silt,turn-in,,,,,
,breach,collide,disable,,,,,,,,,,,,pre-empt,,reminisce,silver,turn-off,,,,,
,bread,collocate,disabuse,,,,,,,,,,,,pre-negotiate,,remit,simmer,turn-on,,,,,
,break,collude,disadvantage,,,,,,,,,,,,pre-register,,remodel,simper,turn-up,,,,,
,break-vpc,colonize,disagree,,,,,,,,,,,,pre-separate,,remonstrate,simplify,tussle,,,,,
,break-apart,colonoscopy,disallow,,,,,,,,,,,,pre-set,,remove,simulate,tutor,,,,,
,break-down,color,disappear,,,,,,,,,,,,pre-test,,remunerate,sin,twang,,,,,
,break-out,colour,disappoint,,,,,,,,,,,,pre-try,,rename,sing,tweak,,,,,
,break-up,comb,disapprove,,,,,,,,,,,,preach,,rend,singe,tweet,,,,,
,breakfast,combat,disarm,,,,,,,,,,,,prearrange,,render,single,tweeze,,,,,
,breakthrough,combine,disassemble,,,,,,,,,,,,precassette,,rendezvous,sink,twiddle,,,,,
,breast,combust,disassociate,,,,,,,,,,,,precede,,renege,sinter,twig,,,,,
,breastfeed,come,disavow,,,,,,,,,,,,precipitate,,renegotiate,sip,twin,,,,,
,breathe,come-(across),disband,,,,,,,,,,,,preclude,,renew,siphon,twine,,,,,
,breathe-fresh-life,come-(upon),disbelieve,,,,,,,,,,,,predate,,renounce,sire,twinge,,,,,
,breathe-new-life,come-around,disburse,,,,,,,,,,,,predetermine,,renovate,sit,twinkle,,,,,
,breed,come-back,discard,,,,,,,,,,,,predicate,,renown,sit-down,twirl,,,,,
,breeze,come-clean,discern,,,,,,,,,,,,predict,,rent,sit-up,twist,,,,,
,brew,come-forward,discharge,,,,,,,,,,,,predispose,,reocclude,site,twitch,,,,,
,bribe,come-into-existence,discipline,,,,,,,,,,,,predominate,,reoccur,situate,twitter,,,,,
,brick,come-into-the-world,disclaim,,,,,,,,,,,,preempt,,reoffer,size,twotime,,,,,
,bridge,come-off,disclose,,,,,,,,,,,,preen,,reopen,sizzle,type,,,,,
,bridle,come-on-heels,discolor,,,,,,,,,,,,prefer,,reorganize,skate,type-in,,,,,
,brief,come-out,discombobulate,,,,,,,,,,,,prefigure,,reorient,skateboard,type-out,,,,,
,brigade,come-to,discomfit,,,,,,,,,,,,prefill,,repack,skedaddle,type-up,,,,,
,brighten,come-to-a-close,discompose,,,,,,,,,,,,preform,,repackage,sketch,typecast,,,,,
,brim,come-to-a-end,disconcert,,,,,,,,,,,,prejudge,,repaint,skew,typify,,,,,
,bring,come-to-be,disconnect,,,,,,,,,,,,prejudice,,repair,skewer,,,,,,
,bring-about,come-together,discontinue,,,,,,,,,,,,premeditate,,repass,ski,,,,,,
,bring-forth,come-up,discount,,,,,,,,,,,,premiere,,repatriate,skid,,,,,,
,bring-on,comfort,discourage,,,,,,,,,,,,premise,,repay,skim,,,,,,
,bring-to-mind,command,discourse,,,,,,,,,,,,preoccupy,,repeal,skimp,,,,,,
,bring-together,commandeer,discover,,,,,,,,,,,,prep,,repeat,skin,,,,,,
,bristle,commander,discredit,,,,,,,,,,,,prepare,,repel,skindive,,,,,,
,broach,commemorate,discriminate,,,,,,,,,,,,prepay,,repent,skip,,,,,,
,broadcast,commence,discuss,,,,,,,,,,,,prepossess,,rephrase,skipper,,,,,,
,broaden,commend,disdain,,,,,,,,,,,,presage,,replace,skirmish,,,,,,
,brocade,comment,disembark,,,,,,,,,,,,preschedule,,replant,skirt,,,,,,
,broil,commercialize,disembowel,,,,,,,,,,,,prescribe,,replaster,skitter,,,,,,
,broker,commingle,disenchant,,,,,,,,,,,,present,,replay,skulk,,,,,,
,bronze,comminute,disencumber,,,,,,,,,,,,preserve,,replenish,skydive,,,,,,
,brood,commiserate,disenfranchise,,,,,,,,,,,,preside,,replicate,skyrocket,,,,,,
,brook,commission,disengage,,,,,,,,,,,,press,,reply,slack,,,,,,
,browbeat,commit,disentangle,,,,,,,,,,,,pressure,,repopulate,slacken,,,,,,
,brown,commit-to-memory,disfigure,,,,,,,,,,,,pressurize,,report,slake,,,,,,
,browse,commodify,disgorge,,,,,,,,,,,,prestate,,repose,slalom,,,,,,
,bruise,communicate,disgrace,,,,,,,,,,,,presume,,reposition,slam,,,,,,
,brunch,commute,disgruntle,,,,,,,,,,,,presuppose,,repossess,slander,,,,,,
,brush,compact,disguise,,,,,,,,,,,,pretend,,repost,slang,,,,,,
,brush-((hair)),compare,disgust,,,,,,,,,,,,prettify,,reprehend,slant,,,,,,
,brush-((teeth)),compel,dish,,,,,,,,,,,,prevail,,represent,slap,,,,,,
,brutalize,compensate,dishearten,,,,,,,,,,,,prevaricate,,repress,slash,,,,,,
,bubble,compete,dishevel,,,,,,,,,,,,prevent,,reprice,slate,,,,,,
,buck,compile,dishonor,,,,,,,,,,,,preview,,reprimand,slather,,,,,,
,bucket,complain,dishonour,,,,,,,,,,,,prey,,reprint,slaughter,,,,,,
,buckle,complement,disillusion,,,,,,,,,,,,price,,reproach,slaver,,,,,,
,bud,complete,disincline,,,,,,,,,,,,prick,,reprobate,slay,,,,,,
,budge,complicate,disinfect,,,,,,,,,,,,prickle,,reprocess,sled,,,,,,
,budget,compliment,disinfest,,,,,,,,,,,,pride,,reproduce,sledge,,,,,,
