abase,babble,cabbage,dabble,earmark,face,gabble,hack,identify,jabber,kayak,labor,macerate,nadire,obey,pacify,quadruple,race,sack,taboo,ululate,vacation,waddle,yak,zap
,,cramp,,,,,,,,,,,,,,,rubricate,spread-eagle,,,,,,
,,crane,,,,,,,,,,,,,,,rue,spring,,,,,,
,,crank,,,,,,,,,,,,,,,ruffle,spring-up,,,,,,
,,crash,,,,,,,,,,,,,,,ruin,spring-up,,,,,,
,,crash-test,,,,,,,,,,,,,,,rule,sprinkle,,,,,,
,,crate,,,,,,,,,,,,,,,rumba,sprint,,,,,,
,,crave,,,,,,,,,,,,,,,rumble,spritz,,,,,,
,,crawl,,,,,,,,,,,,,,,ruminate,sprout,,,,,,
,,crayon,,,,,,,,,,,,,,,rummage,spruce,,,,,,
,,craze,,,,,,,,,,,,,,,rumor,spur,,,,,,
,,creak,,,,,,,,,,,,,,,rumour,spurn,,,,,,
,,cream,,,,,,,,,,,,,,,rumple,spurt,,,,,,
,,crease,,,,,,,,,,,,,,,run,sputter,,,,,,
,,create,,,,,,,,,,,,,,,run-vpc,spy,,,,,,
,,credential,,,,,,,,,,,,,,,run-away,spy-out,,,,,,
,,credit,,,,,,,,,,,,,,,run-through,spy-out-the-land,,,,,,
,,creep,,,,,,,,,,,,,,,rupture,squabble,,,,,,
,,cremate,,,,,,,,,,,,,,,rush,squall,,,,,,
,,crepitate,,,,,,,,,,,,,,,rust,squander,,,,,,
,,crest,,,,,,,,,,,,,,,rusticate,square,,,,,,
,,crew,,,,,,,,,,,,,,,rustle,squaredance,,,,,,
,,criminalize,,,,,,,,,,,,,,,,squash,,,,,,
,,crimp,,,,,,,,,,,,,,,,squat,,,,,,
,,crimson,,,,,,,,,,,,,,,,squat-down,,,,,,
,,cringe,,,,,,,,,,,,,,,,squawk,,,,,,
,,crinkle,,,,,,,,,,,,,,,,squeak,,,,,,
,,cripple,,,,,,,,,,,,,,,,squeal,,,,,,
,,crisp,,,,,,,,,,,,,,,,squeegee,,,,,,
,,crisscross,,,,,,,,,,,,,,,,squeeze,,,,,,
,,criticize,,,,,,,,,,,,,,,,squelch,,,,,,
,,critique,,,,,,,,,,,,,,,,squint,,,,,,
,,croak,,,,,,,,,,,,,,,,squirm,,,,,,
,,croak-it,,,,,,,,,,,,,,,,squirt,,,,,,
,,crochet,,,,,,,,,,,,,,,,squish,,,,,,
,,crook,,,,,,,,,,,,,,,,stab,,,,,,
,,croon,,,,,,,,,,,,,,,,stabb,,,,,,
,,crop,,,,,,,,,,,,,,,,stabilize,,,,,,
,,cross,,,,,,,,,,,,,,,,stable,,,,,,
,,cross-examine,,,,,,,,,,,,,,,,stack,,,,,,
,,cross-pollinate,,,,,,,,,,,,,,,,stack-up,,,,,,
,,cross-reference,,,,,,,,,,,,,,,,staff,,,,,,
,,crosspollinate,,,,,,,,,,,,,,,,stage,,,,,,
,,crouch,,,,,,,,,,,,,,,,stagewhisper,,,,,,
,,crouch-down,,,,,,,,,,,,,,,,stagger,,,,,,
,,crow,,,,,,,,,,,,,,,,stagnate,,,,,,
,,crowd,,,,,,,,,,,,,,,,stain,,,,,,
,,crown,,,,,,,,,,,,,,,,stake,,,,,,
,,crucify,,,,,,,,,,,,,,,,stalk,,,,,,
,,cruise,,,,,,,,,,,,,,,,stall,,,,,,
,,crumb,,,,,,,,,,,,,,,,stammer,,,,,,
,,crumble,,,,,,,,,,,,,,,,stamp,,,,,,
,,crump,,,,,,,,,,,,,,,,stamp-down,,,,,,
,,crumple,,,,,,,,,,,,,,,,stampede,,,,,,
,,crunch,,,,,,,,,,,,,,,,stanch,,,,,,
,,crush,,,,,,,,,,,,,,,,stand,,,,,,
,,crust,,,,,,,,,,,,,,,,stand-vpc,,,,,,
,,cry,,,,,,,,,,,,,,,,stand-down,,,,,,
,,crystallize,,,,,,,,,,,,,,,,stand-up,,,,,,
,,cub,,,,,,,,,,,,,,,,standardize,,,,,,
,,cube,,,,,,,,,,,,,,,,staple,,,,,,
,,cuckold,,,,,,,,,,,,,,,,star,,,,,,
,,cuckoo,,,,,,,,,,,,,,,,star-(in),,,,,,
,,cuddle,,,,,,,,,,,,,,,,starch,,,,,,
,,cudgel,,,,,,,,,,,,,,,,stare,,,,,,
,,cuff,,,,,,,,,,,,,,,,start,,,,,,
,,cull,,,,,,,,,,,,,,,,start-fire,,,,,,
,,culminate,,,,,,,,,,,,,,,,start-off,,,,,,
,,cultivate,,,,,,,,,,,,,,,,startle,,,,,,
,,culture,,,,,,,,,,,,,,,,starve,,,,,,
,,cum,,,,,,,,,,,,,,,,stash,,,,,,
,,cup,,,,,,,,,,,,,,,,state,,,,,,
,,curb,,,,,,,,,,,,,,,,station,,,,,,
,,curdle,,,,,,,,,,,,,,,,stave,,,,,,
,,cure,,,,,,,,,,,,,,,,stave-off,,,,,,
,,curl,,,,,,,,,,,,,,,,stay,,,,,,
,,curry,,,,,,,,,,,,,,,,stay-vpc,,,,,,
,,curse,,,,,,,,,,,,,,,,stay-away,,,,,,
,,curtail,,,,,,,,,,,,,,,,stay-over,,,,,,
,,curtain,,,,,,,,,,,,,,,,steady,,,,,,
,,curtsey,,,,,,,,,,,,,,,,steal,,,,,,
,,curtsy,,,,,,,,,,,,,,,,steam,,,,,,
,,curve,,,,,,,,,,,,,,,,steam-bake,,,,,,
,,cushion,,,,,,,,,,,,,,,,steamroller,,,,,,
,,customize,,,,,,,,,,,,,,,,steel,,,,,,
,,cut,,,,,,,,,,,,,,,,steep,,,,,,
,,,,,,,,,,,,,,,,,,steepen,,,,,,
,,,,,,,,,,,,,,,,,,steer,,,,,,
,,,,,,,,,,,,,,,,,,stem,,,,,,
,,,,,,,,,,,,,,,,,,stemmer,,,,,,
,,,,,,,,,,,,,,,,,,stencil,,,,,,
,,,,,,,,,,,,,,,,,,stenose,,,,,,
,,,,,,,,,,,,,,,,,,stent,,,,,,
,,,,,,,,,,,,,,,,,,step,,,,,,
,,,,,,,,,,,,,,,,,,step-down,,,,,,
,,,,,,,,,,,,,,,,,,step-up,,,,,,
,,,,,,,,,,,,,,,,,,stereotype,,,,,,
,,,,,,,,,,,,,,,,,,sterilize,,,,,,
,,,,,,,,,,,,,,,,,,stew,,,,,,
,,,,,,,,,,,,,,,,,,stick,,,,,,
,,,,,,,,,,,,,,,,,,stick-up,,,,,,
,,,,,,,,,,,,,,,,,,stiffen,,,,,,
,,,,,,,,,,,,,,,,,,stifle,,,,,,
,,,,,,,,,,,,,,,,,,stigmatize,,,,,,
,,,,,,,,,,,,,,,,,,still,,,,,,
,,,,,,,,,,,,,,,,,,stimulate,,,,,,
,,,,,,,,,,,,,,,,,,sting,,,,,,
,,,,,,,,,,,,,,,,,,stink,,,,,,
,,,,,,,,,,,,,,,,,,stipple,,,,,,
,,,,,,,,,,,,,,,,,,stipulate,,,,,,
,,,,,,,,,,,,,,,,,,stir,,,,,,
,,,,,,,,,,,,,,,,,,stir-fry,,,,,,
,,,,,,,,,,,,,,,,,,stir-up,,,,,,
,,,,,,,,,,,,,,,,,,stitch,,,,,,
,,,,,,,,,,,,,,,,,,stock,,,,,,
,,,,,,,,,,,,,,,,,,stockpile,,,,,,
,,,,,,,,,,,,,,,,,,stoke,,,,,,
,,,,,,,,,,,,,,,,,,stomach,,,,,,
,,,,,,,,,,,,,,,,,,stomp,,,,,,
,,,,,,,,,,,,,,,,,,stone,,,,,,
,,,,,,,,,,,,,,,,,,stonewall,,,,,,
,,,,,,,,,,,,,,,,,,stooge,,,,,,
,,,,,,,,,,,,,,,,,,stool,,,,,,
,,,,,,,,,,,,,,,,,,stoop,,,,,,
,,,,,,,,,,,,,,,,,,stop,,,,,,
,,,,,,,,,,,,,,,,,,stop-up,,,,,,
,,,,,,,,,,,,,,,,,,stopper,,,,,,
,,,,,,,,,,,,,,,,,,store,,,,,,
,,,,,,,,,,,,,,,,,,storm,,,,,,
,,,,,,,,,,,,,,,,,,stow,,,,,,
,,,,,,,,,,,,,,,,,,stow-it,,,,,,
,,,,,,,,,,,,,,,,,,straddle,,,,,,
,,,,,,,,,,,,,,,,,,strafe,,,,,,
,,,,,,,,,,,,,,,,,,straggle,,,,,,
,,,,,,,,,,,,,,,,,,straighten,,,,,,
,,,,,,,,,,,,,,,,,,strain,,,,,,
,,,,,,,,,,,,,,,,,,strand,,,,,,
,,,,,,,,,,,,,,,,,,strangle,,,,,,
,,,,,,,,,,,,,,,,,,strangulate,,,,,,
,,,,,,,,,,,,,,,,,,strap,,,,,,
,,,,,,,,,,,,,,,,,,strategize,,,,,,
,,,,,,,,,,,,,,,,,,stratify,,,,,,
,,,,,,,,,,,,,,,,,,stray,,,,,,
,,,,,,,,,,,,,,,,,,streak,,,,,,
,,,,,,,,,,,,,,,,,,stream,,,,,,
,,,,,,,,,,,,,,,,,,streamline,,,,,,
,,,,,,,,,,,,,,,,,,strengthen,,,,,,
,,,,,,,,,,,,,,,,,,stress,,,,,,
,,,,,,,,,,,,,,,,,,stretch,,,,,,
,,,,,,,,,,,,,,,,,,strew,,,,,,
,,,,,,,,,,,,,,,,,,stride,,,,,,
,,,,,,,,,,,,,,,,,,stridulate,,,,,,
,,,,,,,,,,,,,,,,,,strike,,,,,,
,,,,,,,,,,,,,,,,,,strike-up,,,,,,
,,,,,,,,,,,,,,,,,,string,,,,,,
,,,,,,,,,,,,,,,,,,strip,,,,,,
,,,,,,,,,,,,,,,,,,strip-off,,,,,,
,,,,,,,,,,,,,,,,,,strive,,,,,,
,,,,,,,,,,,,,,,,,,stroke,,,,,,
,,,,,,,,,,,,,,,,,,stroll,,,,,,
,,,,,,,,,,,,,,,,,,strop,,,,,,
,,,,,,,,,,,,,,,,,,structure,,,,,,
,,,,,,,,,,,,,,,,,,struggle,,,,,,
,,,,,,,,,,,,,,,,,,strut,,,,,,
,,,,,,,,,,,,,,,,,,stub,,,,,,
,,,,,,,,,,,,,,,,,,stucco,,,,,,
,,,,,,,,,,,,,,,,,,stud,,,,,,
,,,,,,,,,,,,,,,,,,study,,,,,,
,,,,,,,,,,,,,,,,,,stuff,,,,,,
,,,,,,,,,,,,,,,,,,stultify,,,,,,
,,,,,,,,,,,,,,,,,,stumble,,,,,,
,,,,,,,,,,,,,,,,,,stump,,,,,,
,,,,,,,,,,,,,,,,,,stun,,,,,,
,,,,,,,,,,,,,,,,,,stunt,,,,,,
,,,,,,,,,,,,,,,,,,stupefy,,,,,,
,,,,,,,,,,,,,,,,,,stutter,,,,,,
,,,,,,,,,,,,,,,,,,style,,,,,,
,,,,,,,,,,,,,,,,,,stymie,,,,,,
,,,,,,,,,,,,,,,,,,subcontract,,,,,,
,,,,,,,,,,,,,,,,,,subdivide,,,,,,
,,,,,,,,,,,,,,,,,,subdue,,,,,,
,,,,,,,,,,,,,,,,,,subject,,,,,,
,,,,,,,,,,,,,,,,,,subjugate,,,,,,
,,,,,,,,,,,,,,,,,,sublet,,,,,,
,,,,,,,,,,,,,,,,,,sublimate,,,,,,
,,,,,,,,,,,,,,,,,,sublime,,,,,,
,,,,,,,,,,,,,,,,,,sublux,,,,,,
,,,,,,,,,,,,,,,,,,submerge,,,,,,
,,,,,,,,,,,,,,,,,,submit,,,,,,
,,,,,,,,,,,,,,,,,,subordinate,,,,,,
,,,,,,,,,,,,,,,,,,suborn,,,,,,
,,,,,,,,,,,,,,,,,,subpoena,,,,,,
,,,,,,,,,,,,,,,,,,subscribe,,,,,,
,,,,,,,,,,,,,,,,,,subselect,,,,,,
,,,,,,,,,,,,,,,,,,subside,,,,,,
,,,,,,,,,,,,,,,,,,subsidize,,,,,,
,,,,,,,,,,,,,,,,,,subsist,,,,,,
,,,,,,,,,,,,,,,,,,substantiate,,,,,,
,,,,,,,,,,,,,,,,,,substitute,,,,,,
,,,,,,,,,,,,,,,,,,subsume,,,,,,
,,,,,,,,,,,,,,,,,,subtitle,,,,,,
,,,,,,,,,,,,,,,,,,subtract,,,,,,
,,,,,,,,,,,,,,,,,,subvert,,,,,,
,,,,,,,,,,,,,,,,,,succeed,,,,,,
,,,,,,,,,,,,,,,,,,succor,,,,,,
,,,,,,,,,,,,,,,,,,succumb,,,,,,
,,,,,,,,,,,,,,,,,,suck,,,,,,
,,,,,,,,,,,,,,,,,,suckle,,,,,,
,,,,,,,,,,,,,,,,,,suction,,,,,,
,,,,,,,,,,,,,,,,,,sue,,,,,,
,,,,,,,,,,,,,,,,,,suffer,,,,,,
,,,,,,,,,,,,,,,,,,suffice,,,,,,
,,,,,,,,,,,,,,,,,,suffocate,,,,,,
,,,,,,,,,,,,,,,,,,suffuse,,,,,,
,,,,,,,,,,,,,,,,,,sugar,,,,,,
,,,,,,,,,,,,,,,,,,sugarcoat,,,,,,
,,,,,,,,,,,,,,,,,,suggest,,,,,,
,,,,,,,,,,,,,,,,,,suicide,,,,,,
,,,,,,,,,,,,,,,,,,suit,,,,,,
,,,,,,,,,,,,,,,,,,sulfurize,,,,,,
,,,,,,,,,,,,,,,,,,sulk,,,,,,
,,,,,,,,,,,,,,,,,,sully,,,,,,
,,,,,,,,,,,,,,,,,,sulphur,,,,,,
,,,,,,,,,,,,,,,,,,sum,,,,,,
,,,,,,,,,,,,,,,,,,sum-up,,,,,,
,,,,,,,,,,,,,,,,,,summarize,,,,,,
,,,,,,,,,,,,,,,,,,summer,,,,,,
,,,,,,,,,,,,,,,,,,summon,,,,,,
,,,,,,,,,,,,,,,,,,summons,,,,,,
,,,,,,,,,,,,,,,,,,sunbathe,,,,,,
,,,,,,,,,,,,,,,,,,sunburn,,,,,,
,,,,,,,,,,,,,,,,,,sunder,,,,,,
,,,,,,,,,,,,,,,,,,sup,,,,,,
,,,,,,,,,,,,,,,,,,super,,,,,,
,,,,,,,,,,,,,,,,,,superimpose,,,,,,
,,,,,,,,,,,,,,,,,,supersede,,,,,,
,,,,,,,,,,,,,,,,,,supervene,,,,,,
,,,,,,,,,,,,,,,,,,supervise,,,,,,
,,,,,,,,,,,,,,,,,,supplant,,,,,,
,,,,,,,,,,,,,,,,,,supplement,,,,,,
,,,,,,,,,,,,,,,,,,supplicate,,,,,,
,,,,,,,,,,,,,,,,,,supply,,,,,,
,,,,,,,,,,,,,,,,,,support,,,,,,
,,,,,,,,,,,,,,,,,,suppose,,,,,,
,,,,,,,,,,,,,,,,,,suppress,,,,,,
,,,,,,,,,,,,,,,,,,suppurate,,,,,,
,,,,,,,,,,,,,,,,,,surf,,,,,,
,,,,,,,,,,,,,,,,,,surface,,,,,,
,,,,,,,,,,,,,,,,,,surfeit,,,,,,
,,,,,,,,,,,,,,,,,,surge,,,,,,
,,,,,,,,,,,,,,,,,,surmise,,,,,,
,,,,,,,,,,,,,,,,,,surmount,,,,,,
,,,,,,,,,,,,,,,,,,surpass,,,,,,
,,,,,,,,,,,,,,,,,,surprise,,,,,,
,,,,,,,,,,,,,,,,,,surrender,,,,,,
,,,,,,,,,,,,,,,,,,surround,,,,,,
,,,,,,,,,,,,,,,,,,surveil,,,,,,
,,,,,,,,,,,,,,,,,,survey,,,,,,
,,,,,,,,,,,,,,,,,,survive,,,,,,
,,,,,,,,,,,,,,,,,,suspect,,,,,,
,,,,,,,,,,,,,,,,,,suspend,,,,,,
,,,,,,,,,,,,,,,,,,suspire,,,,,,
,,,,,,,,,,,,,,,,,,sustain,,,,,,
,,,,,,,,,,,,,,,,,,suture,,,,,,
,,,,,,,,,,,,,,,,,,swab,,,,,,
,,,,,,,,,,,,,,,,,,swaddle,,,,,,
,,,,,,,,,,,,,,,,,,swag,,,,,,
,,,,,,,,,,,,,,,,,,swagger,,,,,,
,,,,,,,,,,,,,,,,,,swallow,,,,,,
,,,,,,,,,,,,,,,,,,swamp,,,,,,
,,,,,,,,,,,,,,,,,,swan,,,,,,
,,,,,,,,,,,,,,,,,,swap,,,,,,
,,,,,,,,,,,,,,,,,,swap-out,,,,,,
,,,,,,,,,,,,,,,,,,swarm,,,,,,
,,,,,,,,,,,,,,,,,,swash,,,,,,
,,,,,,,,,,,,,,,,,,swat,,,,,,
,,,,,,,,,,,,,,,,,,swathe,,,,,,
,,,,,,,,,,,,,,,,,,sway,,,,,,
,,,,,,,,,,,,,,,,,,swear,,,,,,
,,,,,,,,,,,,,,,,,,sweat,,,,,,
,,,,,,,,,,,,,,,,,,sweep,,,,,,
,,,,,,,,,,,,,,,,,,sweet-talk,,,,,,
,,,,,,,,,,,,,,,,,,sweeten,,,,,,
,,,,,,,,,,,,,,,,,,swell,,,,,,
,,,,,,,,,,,,,,,,,,swelter,,,,,,
,,,,,,,,,,,,,,,,,,swerve,,,,,,
,,,,,,,,,,,,,,,,,,swig,,,,,,
,,,,,,,,,,,,,,,,,,swill,,,,,,
,,,,,,,,,,,,,,,,,,swim,,,,,,
,,,,,,,,,,,,,,,,,,swindle,,,,,,
,,,,,,,,,,,,,,,,,,swing,,,,,,
,,,,,,,,,,,,,,,,,,swing-(into),,,,,,
,,,,,,,,,,,,,,,,,,swipe,,,,,,
,,,,,,,,,,,,,,,,,,swirl,,,,,,
,,,,,,,,,,,,,,,,,,swish,,,,,,
,,,,,,,,,,,,,,,,,,switch,,,,,,
,,,,,,,,,,,,,,,,,,switch-over,,,,,,
,,,,,,,,,,,,,,,,,,swivel,,,,,,
,,,,,,,,,,,,,,,,,,swoon,,,,,,
,,,,,,,,,,,,,,,,,,swoop,,,,,,
,,,,,,,,,,,,,,,,,,swoosh,,,,,,
,,,,,,,,,,,,,,,,,,symbolize,,,,,,
,,,,,,,,,,,,,,,,,,sympathize,,,,,,
,,,,,,,,,,,,,,,,,,synchronize,,,,,,
,,,,,,,,,,,,,,,,,,syncopate,,,,,,
,,,,,,,,,,,,,,,,,,syndicate,,,,,,
,,,,,,,,,,,,,,,,,,synthesise,,,,,,
,,,,,,,,,,,,,,,,,,synthesize,,,,,,